id,source_country,source_latitude,source_longitude,target_country,target_latitude,target_longitude,year,time,amount,note,linestring
1,fushun,41.88049186,123.9563363,chosun,37.566935,126.978142,1908,1908-01-01,0.2,,"linestring(123.95633630052524 41.88049186409673, 126.978142 37.566935)"
2,fushun,41.88049186,123.9563363,south_china,31.22868876,121.4758988,1908,1908-01-01,12,,"linestring(123.95633630052524 41.88049186409673, 121.47589877511972 31.228688763535633)"
3,fushun,41.88049186,123.9563363,japan,35.68701184,139.753325,1908,1908-01-01,2,,"linestring(123.95633630052524 41.88049186409673, 139.75332504722854 35.68701184477276)"
4,fushun,41.88049186,123.9563363,north_china,39.91689076,116.3968764,1908,1908-01-01,7,,"linestring(123.95633630052524 41.88049186409673, 116.39687644664122 39.91689076216459)"
5,fushun,41.88049186,123.9563363,southeast-asia,1.297038829,103.848304,1908,1908-01-01,0,,"linestring(123.95633630052524 41.88049186409673, 103.84830401333 1.2970388287948684)"
6,fushun,41.88049186,123.9563363,taiwan,25.03961069,121.5190604,1908,1908-01-01,0,,"linestring(123.95633630052524 41.88049186409673, 121.51906039184372 25.039610686989437)"
7,fushun,41.88049186,123.9563363,vladivostok,43.11481344,131.8855052,1908,1908-01-01,0,,"linestring(123.95633630052524 41.88049186409673, 131.88550523762538 43.11481343550425)"
8,fushun,41.88049186,123.9563363,chosun,37.566935,126.978142,1909,1909-01-01,40,,"linestring(123.95633630052524 41.88049186409673, 126.978142 37.566935)"
9,fushun,41.88049186,123.9563363,south_china,31.22868876,121.4758988,1909,1909-01-01,85,,"linestring(123.95633630052524 41.88049186409673, 121.47589877511972 31.228688763535633)"
10,fushun,41.88049186,123.9563363,japan,35.68701184,139.753325,1909,1909-01-01,3,,"linestring(123.95633630052524 41.88049186409673, 139.75332504722854 35.68701184477276)"
11,fushun,41.88049186,123.9563363,north_china,39.91689076,116.3968764,1909,1909-01-01,24,,"linestring(123.95633630052524 41.88049186409673, 116.39687644664122 39.91689076216459)"
12,fushun,41.88049186,123.9563363,southeast-asia,1.297038829,103.848304,1909,1909-01-01,12,,"linestring(123.95633630052524 41.88049186409673, 103.84830401333 1.2970388287948684)"
13,fushun,41.88049186,123.9563363,taiwan,25.03961069,121.5190604,1909,1909-01-01,0.1,,"linestring(123.95633630052524 41.88049186409673, 121.51906039184372 25.039610686989437)"
